orign,origin,phonetic,parts_of_speech,postitive_degree
きりりしゃんと,きりりしゃんと,副詞,0.997511,
欣然,きんぜん,副詞,0.996789,
丁度,ちょうど,副詞,0.996176,
きびきび,きびきび,副詞,0.995129,
思う様,おもうさま,副詞,0.993181,
優に,ゆうに,副詞,0.992781,
いそいそ,いそいそ,副詞,0.99245,
思う存分,おもうぞんぶん,副詞,0.991479,
しゃきっと,しゃきっと,副詞,0.98963,
にっこり,にっこり,副詞,0.989443,
のんびり,のんびり,副詞,0.989135,
ぴちぴち,ぴちぴち,副詞,0.989073,
浮き浮き,うきうき,副詞,0.988895,
しゃきしゃき,しゃきしゃき,副詞,0.988724,
堂堂,どうどう,副詞,0.988687,
静静,しずしず,副詞,0.988626,
すっぱり,すっぱり,副詞,0.988174,
楽楽,らくらく,副詞,0.987993,
がっちり,がっちり,副詞,0.986128,
きっかり,きっかり,副詞,0.985594,
宜,ぎ,副詞,0.984927,
良しなに,よしなに,副詞,0.984363,
やたけに,やたけに,副詞,0.984324,
わくわく,わくわく,副詞,0.984273,
がっしり,がっしり,副詞,0.984202,
いみじくも,いみじくも,副詞,0.98395,
あっさり,あっさり,副詞,0.983673,
ゆったり,ゆったり,副詞,0.983651,
きらりと,きらりと,副詞,0.983506,
すかっと,すかっと,副詞,0.983246,
しゃっきり,しゃっきり,副詞,0.982375,
にこにこ,にこにこ,副詞,0.981822,
しゃんと,しゃんと,副詞,0.981591,
つやつや,つやつや,副詞,0.980453,
難無く,なんなく,副詞,0.980288,
すやすや,すやすや,副詞,0.980073,
きちんと,きちんと,副詞,0.979967,
ぴんぴん,ぴんぴん,副詞,0.979849,
たっぷり,たっぷり,副詞,0.979449,
れっきと,れっきと,副詞,0.977651,
ほかほか,ほかほか,副詞,0.977415,
こよなく,こよなく,副詞,0.976242,
安安,やすやす,副詞,0.976179,
奮って,ふるって,副詞,0.975194,
すくすく,すくすく,副詞,0.972376,
こんがり,こんがり,副詞,0.971503,
軽軽,かるがる,副詞,0.971267,
美しくも,いしくも,副詞,0.971147,
しっくり,しっくり,副詞,0.970807,
ちんまり,ちんまり,副詞,0.97041,
何より,なにより,副詞,0.970386,
楽に,らくに,副詞,0.969407,
一方ならず,ひとかたならず,副詞,0.969398,
きりりと,きりりと,副詞,0.969288,
ずばり,ずばり,副詞,0.966756,
ほくほく,ほくほく,副詞,0.962429,
健か,したたか,副詞,0.961761,
しゃんしゃん,しゃんしゃん,副詞,0.958888,
腹一杯,はらいっぱい,副詞,0.956293,
さらりと,さらりと,副詞,0.954746,
ぴったり,ぴったり,副詞,0.951451,
決然,けつぜん,副詞,0.94835,
ぴんしゃん,ぴんしゃん,副詞,0.948008,
きっちり,きっちり,副詞,0.943204,
よく,よく,副詞,0.921866,
唯唯,いい,副詞,0.915477,
さっぱり,さっぱり,副詞,0.793419,
きらきら,きらきら,副詞,0.718035,
夜もすがら,よもすがら,副詞,0.703089,
疾く,とく,副詞,0.685555,
とっとと,とっとと,副詞,0.685114,
宜しく,よろしく,副詞,0.684397,
そろりと,そろりと,副詞,0.666042,
夜な夜な,よなよな,副詞,0.640991,
さっさと,さっさと,副詞,0.638465,
どの道,どのみち,副詞,0.62289,
どうせ,どうせ,副詞,0.612873,
すたすた,すたすた,副詞,0.593062,
ぎらぎら,ぎらぎら,副詞,0.566053,
ゆるりと,ゆるりと,副詞,0.559554,
どっち道,どっちみち,副詞,0.550264,
世にも,よにも,副詞,0.549163,
凛と,りんと,副詞,0.538857,
つと,つと,副詞,0.517366,
奇しくも,くしくも,副詞,0.509337,
きりきり,きりきりしゃんと,副詞,0.504162,
のうのう,のうのう,副詞,0.484275,
つっと,つっと,副詞,0.477846,
確り,しっかり,副詞,0.46323,
本に,ほんに,副詞,0.454483,
あわよくば,あわよくば,副詞,0.441356,
ぬくぬく,ぬくぬく,副詞,0.412698,
むんむん,むんむん,副詞,0.412678,
一際,ひときわ,副詞,0.379046,
何時かしら,いつかしら,副詞,0.377726,
しとしと,しとしと,副詞,0.367304,
うっとり,うっとり,副詞,0.36674,
おちおち,おちおち,副詞,0.362384,
ちょろり,ちょろり,副詞,0.361606,
どんどん,どんどん,副詞,0.360515,
なるたけ,なるたけ,副詞,0.342085,
折しも,おりしも,副詞,0.334723,
きょろりと,きょろりと,副詞,0.331361,
ずばずば,ずばずば,副詞,0.32893,
ひょっこり,ひょっこり,副詞,0.315513,
心ならずも,こころならずも,副詞,0.30797,
くっきり,くっきり,副詞,0.30759,
誠に,まことに,副詞,0.303085,
てきぱき,てきぱき,副詞,0.298337,
大層,たいそう,副詞,0.29035,
延び延び,のびのび,副詞,0.285063,
おっとり,おっとり,副詞,0.273239,
てかてか,てかてか,副詞,0.2527,
言わずもがな,いわずもがな,副詞,0.24791,
こつこつ,こつこつ,副詞,0.237785,
めきめき,めきめき,副詞,0.237612,
てらてら,てらてら,副詞,0.233361,
にゅっと,にゅっと,副詞,0.231582,
ずんずん,ずんずん,副詞,0.221216,
ぐっすり,ぐっすり,副詞,0.210761,
宛として,えんとして,副詞,0.210431,
一入,ひとしお,副詞,0.20476,
ろくに,ろくに,副詞,0.192881,
よくも,よくも,副詞,0.184464,
はったと,はったと,副詞,0.182652,
恰も,あたかも,副詞,0.180718,
かっきり,かっきり,副詞,0.176012,
ぱっぱと,ぱっぱと,副詞,0.167779,
まんまと,まんまと,副詞,0.165698,
はきはき,はきはき,副詞,0.159947,
りゅうと,りゅうと,副詞,0.147817,
特別,とくべつ,副詞,0.146759,
しゃなりしゃなり,しゃなりしゃなり,副詞,0.145202,
適宜,てきぎ,副詞,0.139911,
逸早く,いちはやく,副詞,0.138891,
ぱりっと,ぱりっと,副詞,0.13809,
ゆるゆる,ゆるゆる,副詞,0.137833,
たまたま,たまたま,副詞,0.135086,
びくとも,びくとも,副詞,0.134988,
精一杯,せいいっぱい,副詞,0.1272,
明明と,あかあかと,副詞,0.126197,
可及的,かきゅうてき,副詞,0.11865,
まさか,まさか,副詞,0.106073,
やおら,やおら,副詞,0.102769,
おいそれと,おいそれと,副詞,0.100886,
徐に,おもむろに,副詞,0.0965448,
ぎらりと,ぎらりと,副詞,0.082599,
ひょいと,ひょいと,副詞,0.0818276,
夙に,つとに,副詞,0.0801566,
白白と,しろじろと,副詞,0.07804,
心から,しんから,副詞,0.0763587,
至って,いたって,副詞,0.0570497,
ばたばた,ばたばた,副詞,0.0445183,
努めて,つとめて,副詞,0.0441792,
みっちり,みっちり,副詞,0.0408184,
頗る,すこぶる,副詞,0.0347696,
すいすい,すいすい,副詞,0.01227,
ぱっと,ぱっと,副詞,0.010572,
ぐんぐん,ぐんぐん,副詞,0.00859941,
いい加減,いいかげん,副詞,0.00846542,
みっしり,みっしり,副詞,0.00760608,
満遍なく,まんべんなく,副詞,0.00642908,
休み休み,やすみやすみ,副詞,0.0057557,
見る見る,みるみる,副詞,0.00405449,
いとも,いとも,副詞,0.00207205,
きっぱり,きっぱり,副詞,-0.00729723,
真に,しんに,副詞,-0.0111025,
よも,よも,副詞,-0.0123425,
敢然,かんぜん,副詞,-0.0186612,
のほほんと,のほほんと,副詞,-0.0199173,
なるべく,なるべく,副詞,-0.0221094,
こんもり,こんもり,副詞,-0.0223444,
年中,ねんぢゅう,副詞,-0.0234599,
ずかずか,ずかずか,副詞,-0.024098,
うらうら,うらうら,副詞,-0.0243027,
まあまあ,まあまあ,副詞,-0.0246219,
体よく,ていよく,副詞,-0.0257487,
よもや,よもや,副詞,-0.0267526,
たまさか,たまさか,副詞,-0.0270389,
うまうまと,うまうまと,副詞,-0.0276899,
どしどし,どしどし,副詞,-0.0278614,
ばっちり,ばっちり,副詞,-0.0316657,
剰え,あまつさえ,副詞,-0.0349956,
何時しか,いつしか,副詞,-0.0349956,
しみじみ,しみじみ,副詞,-0.0372167,
悉皆,しっかい,副詞,-0.0381888,
力一杯,ちからいっぱい,副詞,-0.0402572,
にんまり,にんまり,副詞,-0.0413582,
早晩,そうばん,副詞,-0.0431297,
何と,なんと,副詞,-0.0460179,
着着,ちゃくちゃく,副詞,-0.0476966,
ぴかりと,ぴかりと,副詞,-0.0496765,
むしゃくしゃ,むしゃくしゃ,副詞,-0.0523011,
ぐにゃぐにゃ,ぐにゃぐにゃ,副詞,-0.0551269,
人一倍,ひといちばい,副詞,-0.0566489,
ぬっと,ぬっと,副詞,-0.0567484,
ゆらりと,ゆらりと,副詞,-0.0573707,
しんみり,しんみり,副詞,-0.0599086,
尚且つ,なおかつ,副詞,-0.0601649,
滅法界,めっぽうかい,副詞,-0.0605063,
てくてく,てくてく,副詞,-0.0642443,
老来,ろうらい,副詞,-0.0649192,
況や,いわんや,副詞,-0.0650876,
はっしと,はっしと,副詞,-0.0656996,
ぴかぴか,ぴかぴか,副詞,-0.0676345,
めっきり,めっきり,副詞,-0.0699456,
断固,だんこ,副詞,-0.0701276,
ちかちか,ちかちか,副詞,-0.07259,
そろそろ,そろそろ,副詞,-0.0740496,
えっちらおっちら,えっちらおっちら,副詞,-0.0761541,
生来,せいらい,副詞,-0.0761817,
しっぽり,しっぽり,副詞,-0.0764593,
はんなり,はんなり,副詞,-0.0766411,
一体全体,いったいぜんたい,副詞,-0.0785575,
ずいと,ずいと,副詞,-0.0791567,
古来,こらい,副詞,-0.08014,
終始,しゅうし,副詞,-0.0804591,
嘸,さぞ,副詞,-0.0812009,
じろじろ,じろじろ,副詞,-0.0814828,
ぺろりと,ぺろりと,副詞,-0.0871383,
いっかな,いっかな,副詞,-0.0873449,
ぞっこん,ぞっこん,副詞,-0.0874191,
ぴりっと,ぴりっと,副詞,-0.0891846,
正しく,まさしく,副詞,-0.0894384,
大いに,おおいに,副詞,-0.0902302,
延延,えんえん,副詞,-0.0907348,
啻に,ただに,副詞,-0.0913839,
丁と,ちょうと,副詞,-0.0920002,
さんざっぱら,さんざっぱら,副詞,-0.0929735,
鋭意,えいい,副詞,-0.0935277,
はたと,はたと,副詞,-0.0939554,
のべたら,のべたら,副詞,-0.0948399,
道道,みちみち,副詞,-0.0973565,
ずんと,ずんと,副詞,-0.0974566,
須らく,すべからく,副詞,-0.0979671,
やけに,やけに,副詞,-0.0986501,
ぱっちり,ぱっちり,副詞,-0.0991894,
終始一貫,しゅうしいっかん,副詞,-0.0993038,
さらさら,さらさら,副詞,-0.100105,
いとど,いとど,副詞,-0.100413,
ぱっくり,ぱっくり,副詞,-0.101762,
格段,かくだん,副詞,-0.101951,
沢山,たくさん,副詞,-0.102477,
ぐいぐい,ぐいぐい,副詞,-0.106078,
朝来,ちょうらい,副詞,-0.107257,
かいしき,かいしき,副詞,-0.107702,
且つ,かつ,副詞,-0.108348,
如何,いかん,副詞,-0.108348,
呉呉,くれぐれ,副詞,-0.108693,
そこばく,そこばく,副詞,-0.108804,
どんより,どんより,副詞,-0.109455,
ちんと,ちんと,副詞,-0.109996,
必ずや,かならずや,副詞,-0.110276,
作麼生,そもさん,副詞,-0.110305,
我と,われと,副詞,-0.111137,
自ら,みずから,副詞,-0.111137,
大きに,おおきに,副詞,-0.111417,
夜っぴて,よっぴて,副詞,-0.111442,
滾滾と,こんこんと,副詞,-0.112825,
ほいほい,ほいほい,副詞,-0.113009,
がっぷり,がっぷり,副詞,-0.113789,
ぐでんぐでん,ぐでんぐでん,副詞,-0.114531,
白白,しらじら,副詞,-0.115392,
徐徐に,じょじょに,副詞,-0.116362,
然,しか,副詞,-0.116572,
ずしりと,ずしりと,副詞,-0.116962,
とつおいつ,とつおいつ,副詞,-0.118225,
暗に,あんに,副詞,-0.118588,
定めし,さだめし,副詞,-0.119189,
がぶがぶ,がぶがぶ,副詞,-0.120553,
偶然,ぐうぜん,副詞,-0.121219,
むざむざ,むざむざ,副詞,-0.122649,
逐一,ちくいち,副詞,-0.123918,
見す見す,みすみす,副詞,-0.124135,
押して,おして,副詞,-0.124481,
大分,だいぶ,副詞,-0.125201,
とことこ,とことこ,副詞,-0.126146,
